# Village child: Quaternius humanoid (CC0). The female peasant outfit on the female base body,
# hair in buns, both dyed the brightest yellow in the valley by merge.py --tint. Small and quick:
# she sprints instead of jogging and dances instead of cheering.
model models/quaternius/child_female.glb
scale 0.70
texture_size 512
yaw_offset 0
anim idle       Idle_Loop loop
anim walk       Walk_Loop loop
anim run        Sprint_Loop loop
anim attack     Punch_Jab contact 0.35
anim attack2    Punch_Cross contact 0.4
anim attack3    Melee_Hook contact 0.45
anim parry      Idle_FoldArms_Loop contact 0.25
anim parry_hit  Hit_Head contact 0.15
anim dodge      Roll
anim hurt       Hit_Chest
anim kneel      Sitting_Idle_Loop hold
anim dead       Death01 hold
anim roar       Dance_Loop
anim stagger    Hit_Knockback
